customerNumber,customerName,paymentDate,paymentAmount
141,"Euro+ Shopping Channel",2005-03-18,120166.58
141,"Euro+ Shopping Channel",2004-12-31,116208.40
124,"Mini Gifts Distributors Ltd.",2003-08-15,111654.40
148,"Dragon Souveniers, Ltd.",2003-12-26,105743.00
124,"Mini Gifts Distributors Ltd.",2005-03-05,101244.59
321,"Corporate Gift Ideas Co.",2003-11-03,85559.12
124,"Mini Gifts Distributors Ltd.",2004-08-28,85410.87
167,"Herkku Gifts",2003-12-03,85024.46
124,"Mini Gifts Distributors Ltd.",2005-04-16,83598.04
114,"Australian Collectors, Co.",2004-12-15,82261.22
239,"Collectable Mini Designs Co.",2004-03-15,80375.24
323,"Down Under Souveniers, Inc",2005-05-23,75020.13
141,"Euro+ Shopping Channel",2005-03-25,65071.26
141,"Euro+ Shopping Channel",2003-12-09,63843.55
157,"Diecast Classics Inc.",2004-09-07,63357.13
298,"Vida Sport, Ltd",2004-09-18,61402.00
259,"Toms Spezialitäten, Ltd",2004-11-06,61234.67
141,"Euro+ Shopping Channel",2004-01-30,59830.55
450,"The Sharp Gifts Warehouse",2004-06-21,59551.38
495,"Diecast Collectables",2003-12-26,59265.14
151,"Muscle Machine Inc",2003-06-18,58841.35
151,"Muscle Machine Inc",2003-12-22,58793.53
458,"Corrida Auto Replicas, Ltd",2003-06-13,57131.92
124,"Mini Gifts Distributors Ltd.",2004-11-02,55639.66
363,"Online Diecast Creations Co.",2003-12-05,55425.77
145,"Danish Wholesale Imports",2003-02-20,53959.21
227,"Heintze Collectables",2004-11-02,53745.34
256,"Auto Associés & Cie.",2004-10-22,53116.99
187,"AV Stores, Co.",2004-11-03,52825.29
320,"Mini Creations Ltd.",2003-11-24,52548.49
496,"Kelly's Gift Shop",2004-12-31,52166.00
278,"Rovelli Gifts",2003-03-02,52151.81
386,"L'ordine Souveniers",2004-07-18,51619.02
172,"La Corne D'abondance, Co.",2004-12-04,51209.58
204,"Online Mini Collectables",2004-08-13,51152.86
385,"Cruz & Sons Co.",2003-03-09,51001.22
350,"Marseille Mini Autos",2003-05-25,50824.66
363,"Online Diecast Creations Co.",2004-11-17,50799.69
161,"Technics Stores Inc.",2003-11-18,50743.65
205,Toys4GrownUps.com,2003-09-05,50342.74
